id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,car_score,milage_per_year,price
0,32,1272,6,74349,3,769,31,60,3,1,0,866,10621.285714285714,11000
1,30,384,17,80000,3,418,9,45,25,1,0,500,4444.444444444444,8250
2,27,358,15,91491,3,265,5,9,6,1,0,288,5718.1875,15000
3,30,1562,2,2437,6,860,17,87,43,1,0,1013,812.3333333333334,63500
4,9,223,23,111000,3,81,4,48,25,1,0,161,4625.0,7850
5,15,6,21,124756,3,57,1,24,6,0,0,91,5670.727272727273,4995
6,29,1141,10,107380,3,492,15,87,25,1,0,622,9761.818181818182,26500
7,31,427,5,51300,3,505,5,48,25,0,0,586,8550.0,25500
8,29,857,8,87842,3,237,15,16,25,1,0,296,9760.222222222223,13999
9,15,203,17,152270,3,346,2,87,6,0,0,444,8459.444444444445,6700
10,38,1486,6,34920,3,1038,4,16,25,1,0,1086,4988.571428571428,124995
11,33,1446,7,92728,3,656,4,16,31,1,0,710,11591.0,49900
12,41,1013,10,112000,3,484,4,16,25,1,0,532,10181.818181818182,40000
13,29,1075,5,37000,3,596,4,48,6,1,0,657,6166.666666666667,28250
14,34,692,11,93500,3,312,4,48,25,1,0,392,7791.666666666667,23500
15,31,315,6,76296,3,194,5,45,43,1,0,290,10899.42857142857,36800
16,42,1182,3,21600,3,673,4,45,25,1,0,750,5400.0,138999
17,25,658,7,82978,3,522,19,48,25,1,0,617,10372.25,66200
18,31,974,9,116210,2,533,7,48,6,1,0,596,11621.0,31900
19,24,1539,2,14269,3,967,19,45,25,1,0,1059,4756.333333333333,234000
20,31,1121,4,61830,3,541,21,134,58,1,0,757,12366.0,26485
21,32,960,11,75500,3,581,4,60,6,1,0,654,6291.666666666667,33500
22,18,485,9,106000,3,386,5,48,3,0,0,445,10600.0,9500
23,32,825,3,59500,3,515,4,60,25,1,0,607,14875.0,36500
24,14,1086,8,53000,3,655,4,45,25,1,0,732,5888.888888888889,31300
25,33,1616,8,49000,3,935,36,48,25,1,0,1047,5444.444444444444,65000
26,32,1286,3,6449,3,799,29,45,83,1,0,959,1612.25,89995
27,29,536,12,115402,3,478,4,48,43,0,0,576,8877.076923076924,17000
28,17,452,9,96000,3,238,5,48,25,1,0,319,9600.0,12000
29,32,1543,9,92421,5,744,5,87,3,1,0,844,9242.1,51900
30,32,411,9,111000,3,364,4,48,3,1,0,422,11100.0,16999
31,30,1489,3,9000,6,907,19,60,6,1,0,998,2250.0,50000
32,31,1298,3,23600,3,743,4,48,25,1,0,823,5900.0,71000
33,29,383,12,125575,3,257,19,16,25,0,0,320,9659.615384615385,14999
34,36,1325,4,58100,3,718,4,48,6,1,0,779,11620.0,36500
35,28,1146,3,124000,3,743,31,45,25,1,0,847,31000.0,103500
36,32,389,18,94000,3,310,17,48,3,1,0,381,4947.368421052632,10995
37,20,1009,4,25779,3,507,14,28,25,0,0,577,5155.8,24995
38,41,1725,8,12454,3,1025,9,103,25,1,0,1165,1383.7777777777778,55000
39,39,1359,3,25500,6,779,19,60,25,1,0,889,6375.0,53000
40,31,1099,7,93000,3,656,4,45,25,0,0,733,11625.0,35300
41,36,1706,1,15500,3,967,4,45,25,1,0,1044,7750.0,40000
42,29,142,13,90818,3,129,5,48,6,1,0,191,6487.0,8700
43,16,712,14,160000,3,405,4,60,25,0,0,497,10666.666666666666,6250
44,14,1011,10,65000,3,443,3,87,3,0,0,539,5909.090909090909,29444
45,38,1414,4,80500,3,842,19,45,43,1,0,952,16100.0,29900
46,32,348,25,48054,3,48,4,60,3,1,0,118,1848.2307692307693,8950
47,13,965,4,48613,3,764,19,45,25,1,0,856,9722.6,61500
48,5,122,17,79000,3,84,9,24,6,0,0,126,4388.888888888889,8999
49,32,457,10,138415,3,438,4,16,25,1,0,486,12583.181818181818,15500
50,30,554,12,111000,3,386,4,48,54,0,0,495,8538.461538461539,17000
51,30,1179,11,129999,3,672,4,45,25,1,0,749,10833.25,89999
52,36,884,11,85385,3,381,4,48,6,1,0,442,7115.416666666667,19977
53,26,894,7,86250,3,642,2,48,25,1,0,720,10781.25,20900
54,26,591,20,170000,3,123,1,45,25,0,0,197,8095.238095238095,5500
55,36,1140,6,73101,3,718,19,48,6,1,0,794,10443.0,41599
56,32,1222,5,85000,5,865,5,48,10,1,0,933,14166.666666666666,50000
57,36,1198,4,28000,3,662,4,87,25,1,0,781,5600.0,41995
58,20,454,31,75980,1,319,4,103,25,1,0,452,2374.375,90200
59,25,1144,2,16500,3,636,19,48,52,1,0,758,5500.0,34000
60,30,847,6,40000,3,418,19,60,25,0,0,525,5714.285714285715,28499
61,29,1265,6,72000,3,688,19,45,25,1,0,780,10285.714285714286,41500
62,34,503,11,88000,3,437,4,87,25,0,0,556,7333.333333333333,13500
63,32,313,12,108045,3,103,5,60,25,1,0,196,8311.153846153846,9500
64,26,1464,2,24500,3,642,4,48,25,1,0,722,8166.666666666667,39500
65,29,383,13,98313,3,257,5,45,25,0,0,335,7022.357142857143,4999
66,30,925,15,66500,3,577,9,45,25,1,0,659,4156.25,19500
67,32,319,14,114323,3,205,5,60,25,0,0,298,7621.533333333334,6000
68,13,270,13,135000,3,9,4,60,3,1,0,79,9642.857142857143,3999
69,13,669,9,60000,3,435,19,48,52,1,0,557,6000.0,17000
70,26,695,12,110000,3,224,4,45,3,0,0,279,8461.538461538461,8700
71,34,694,10,79950,3,437,15,16,25,1,0,496,7268.181818181818,21000
72,25,1266,4,13500,3,626,19,87,25,1,0,760,2700.0,229900
73,32,979,8,95000,3,600,9,149,25,1,0,786,10555.555555555555,24999
74,12,486,21,81500,3,386,4,48,6,1,0,447,3704.5454545454545,15599
75,30,1620,6,36700,3,890,17,60,64,0,0,1034,5242.857142857143,48990
76,26,591,22,123720,3,122,1,103,6,0,0,235,5379.130434782609,11500
77,32,1206,2,18465,3,858,17,45,25,1,0,948,6155.0,47500
78,33,1702,1,7000,3,962,19,48,54,1,0,1086,3500.0,129000
79,42,1438,1,5844,3,810,4,87,25,1,0,929,2922.0,52000
80,26,894,7,65212,3,708,16,45,25,1,0,797,8151.5,37995
81,6,344,19,145000,3,304,4,48,25,1,0,384,7250.0,5995
82,34,1405,7,70500,3,781,17,48,54,1,0,903,8812.5,17000
83,20,637,17,113000,3,417,5,48,6,1,0,479,6277.777777777777,9999
84,34,638,16,130000,3,315,15,48,25,1,0,406,7647.058823529412,9900
85,11,194,17,190120,3,204,6,16,6,0,0,235,10562.222222222223,12900
86,17,219,19,86000,3,237,9,45,25,1,0,319,4300.0,9995
87,34,1157,6,32000,3,534,30,45,25,1,0,637,4571.428571428572,34000
88,36,884,11,159500,3,590,4,48,25,0,0,670,13291.666666666666,24900
89,33,893,12,139000,3,384,4,45,25,0,0,461,10692.307692307691,19500
90,36,662,9,72500,3,386,5,60,25,1,0,479,7250.0,19550
91,29,325,12,125000,3,257,4,24,3,1,0,291,9615.384615384615,4500
92,11,391,12,96000,3,284,4,45,25,1,0,361,7384.615384615385,15000
93,36,1691,4,3000,3,894,4,45,25,1,0,971,600.0,67500
94,29,764,12,38718,3,492,15,24,25,1,0,559,2978.3076923076924,31000
95,18,485,8,54000,3,346,5,48,25,0,0,427,6000.0,16000
96,11,70,17,105000,3,247,4,16,3,1,0,273,5833.333333333333,13300
97,19,1134,8,74000,3,687,5,48,25,1,0,768,8222.222222222223,36000
98,16,765,8,36000,3,651,17,87,25,1,0,783,4000.0,36000
99,11,299,21,106000,3,215,1,24,3,0,0,246,4818.181818181818,6700
100,29,857,6,52000,3,567,5,45,43,1,0,663,7428.571428571428,33000
101,36,1641,4,5844,3,894,4,45,25,1,0,971,1168.8,105900
102,30,1149,5,43000,3,596,19,48,6,1,0,672,7166.666666666667,39990
103,30,1479,2,2437,6,860,19,45,25,1,0,955,812.3333333333334,92500
104,30,42,19,125500,3,28,4,45,6,0,0,86,6275.0,3950
105,41,1344,2,2015,3,950,17,45,25,1,0,1040,671.6666666666666,47500
106,33,141,19,148800,3,44,4,16,25,1,0,92,7440.0,9000
107,25,1448,1,59715,6,902,31,6,25,0,0,970,29857.5,14699
108,29,383,8,72922,3,257,15,87,3,1,0,365,8102.444444444444,29999
109,39,1359,3,57300,3,746,19,45,3,1,0,816,14325.0,43500
110,34,989,3,17900,3,719,30,48,25,1,0,825,4475.0,34000
111,23,132,20,257700,3,161,9,24,6,1,0,203,12271.42857142857,8000
112,32,1401,3,22270,3,828,29,48,46,1,0,954,5567.5,59950
113,40,1065,7,69548,3,472,19,60,25,1,0,579,8693.5,26999
114,32,1395,5,97700,5,865,5,48,25,1,0,948,16283.333333333334,45000
115,32,1526,2,8911,3,799,29,89,74,1,0,994,2970.3333333333335,59203
116,26,894,6,86250,3,642,2,48,25,1,0,720,12321.42857142857,34000
117,30,627,9,89144,3,418,19,16,25,1,0,481,8914.4,13999
118,29,1481,5,16900,6,825,19,45,25,1,0,920,2816.6666666666665,30000
119,30,1663,3,2800,3,967,17,2,25,1,0,1014,700.0,72900
120,41,1374,6,66250,3,745,4,87,3,0,0,842,9464.285714285714,34900
121,19,914,14,110000,3,687,5,45,3,1,0,743,7333.333333333333,11800
122,14,176,10,124705,2,137,4,45,3,1,0,191,11336.818181818182,6499
123,28,776,8,68425,3,483,5,45,10,1,0,546,7602.777777777777,23500
124,33,130,12,110000,3,117,5,45,25,1,0,195,8461.538461538461,9000
