iter	RMSE
0	79745.6951
1	79649.94238
2	79554.04321
3	79460.84825
4	79368.94032
5	79276.63806
6	79188.39916
7	79097.98105
8	79012.30582
9	78929.77579
10	78845.533
11	78763.65938
12	78681.61139
13	78600.7682
14	78521.63022
15	78449.77035
16	78374.12993
17	78298.72138
18	78224.28417
19	78151.82475
20	78079.03511
21	78010.46086
22	77940.77625
23	77871.88105
24	77807.25535
25	77742.85375
26	77678.0634
27	77613.6656
28	77553.68989
29	77492.49519
30	77432.94987
31	77375.09608
32	77317.66841
33	77261.66468
34	77205.87798
35	77152.63352
36	77096.98806
37	77043.1864
38	76992.27066
39	76939.7181
40	76892.47654
41	76846.56263
42	76797.12613
43	76748.50639
44	76701.87915
45	76654.95375
46	76608.9343
47	76564.31482
48	76519.585
49	76476.705
50	76434.89756
51	76392.24263
52	76350.22423
53	76309.40232
54	76269.0659
55	76229.43614
56	76191.61328
57	76154.52837
58	76116.29577
59	76080.33886
60	76045.35824
61	76010.22738
62	75974.56537
63	75938.50484
64	75900.93952
65	75868.17095
66	75835.07649
67	75801.83803
68	75768.74595
69	75737.07877
70	75705.67818
71	75676.02785
72	75644.82813
73	75615.70593
74	75586.61795
75	75558.06429
76	75531.20412
77	75503.83487
78	75475.48074
79	75447.18935
80	75421.53913
81	75395.98778
82	75368.26434
83	75343.90193
84	75319.5156
85	75295.07566
86	75268.97017
87	75243.47468
88	75219.8253
89	75196.30174
90	75175.65333
91	75152.9133
92	75132.25655
93	75112.45368
94	75089.55293
95	75067.20974
96	75046.39585
97	75027.12196
98	75006.87938
99	74987.67244
100	74968.32542
101	74949.3691
102	74931.05538
103	74911.90809
104	74893.6546
105	74875.55851
106	74857.83434
107	74838.92248
108	74821.38137
109	74804.14293
110	74787.13783
111	74769.91671
112	74752.79695
113	74736.6922
114	74720.82092
115	74705.63449
116	74689.37876
117	74673.94811
118	74659.34826
119	74644.53144
120	74629.34767
121	74613.7053
122	74598.61067
123	74585.4763
124	74571.08085
125	74558.25182
126	74544.24557
127	74530.01352
128	74517.18162
129	74502.18074
130	74490.07086
131	74478.20785
132	74464.9846
133	74453.47291
134	74441.7629
135	74428.29063
136	74416.4728
137	74404.99972
138	74391.6507
139	74379.68954
140	74367.78665
141	74356.71821
142	74343.04471
143	74331.6454
144	74322.14202
145	74310.8392
146	74301.10888
147	74290.69626
148	74278.59834
149	74269.01756
150	74258.45435
151	74248.31672
152	74235.93028
153	74225.74063
154	74216.01328
155	74206.1395
156	74197.14343
157	74188.74087
158	74178.72541
159	74169.50609
160	74160.95965
161	74151.64301
162	74143.87296
163	74136.11401
164	74127.25494
165	74118.84001
166	74110.92061
167	74101.63385
168	74093.15177
169	74085.87937
170	74076.90613
171	74068.43117
172	74060.57168
173	74052.14076
174	74043.89295
175	74035.85125
176	74028.77814
177	74020.93354
178	74012.4036
179	74004.88058
180	73997.59619
181	73990.1753
182	73983.50098
183	73977.18576
184	73970.68318
185	73963.02968
186	73956.77569
187	73950.05415
188	73942.81816
189	73933.97751
190	73927.38278
191	73920.40926
192	73914.21194
193	73907.2776
194	73901.25931
195	73894.27155
196	73886.83161
197	73880.9409
198	73874.28447
199	73868.92449
