iter	Passed	Remaining
0	70	14110
1	88	8791
2	105	6931
3	124	6076
4	142	5547
5	159	5169
6	177	4900
7	196	4709
8	215	4566
9	234	4449
10	252	4331
11	269	4218
12	288	4153
13	306	4077
14	324	4003
15	342	3941
16	361	3895
17	378	3831
18	395	3768
19	413	3724
20	434	3700
21	452	3661
22	470	3619
23	488	3582
24	506	3547
25	525	3514
26	542	3477
27	562	3452
28	580	3422
29	598	3389
30	614	3350
31	631	3313
32	650	3290
33	668	3263
34	686	3236
35	705	3212
36	721	3180
37	738	3149
38	757	3128
39	776	3107
40	794	3081
41	813	3058
42	828	3023
43	845	2996
44	863	2972
45	882	2955
46	898	2925
47	917	2903
48	934	2879
49	952	2857
50	971	2839
51	990	2820
52	1009	2798
53	1027	2778
54	1046	2757
55	1064	2736
56	1082	2715
57	1099	2692
58	1119	2675
59	1137	2654
60	1153	2628
61	1170	2605
62	1187	2581
63	1205	2562
64	1223	2541
65	1243	2524
66	1259	2500
67	1276	2477
68	1292	2453
69	1310	2433
70	1326	2411
71	1344	2390
72	1359	2365
73	1378	2346
74	1395	2326
75	1413	2306
76	1430	2285
77	1448	2264
78	1467	2247
79	1484	2226
80	1502	2207
81	1519	2185
82	1536	2165
83	1555	2148
84	1574	2130
85	1591	2109
86	1609	2090
87	1628	2073
88	1648	2055
89	1665	2035
90	1684	2017
91	1702	1998
92	1720	1979
93	1740	1962
94	1758	1943
95	1773	1921
96	1793	1904
97	1811	1885
98	1829	1866
99	1848	1848
100	1864	1827
101	1884	1810
102	1902	1792
103	1921	1773
104	1939	1754
105	1957	1736
106	1973	1715
107	1989	1695
108	2009	1677
109	2025	1656
110	2042	1637
111	2060	1619
112	2078	1599
113	2100	1584
114	2121	1568
115	2140	1549
116	2158	1531
117	2175	1511
118	2193	1493
119	2211	1474
120	2229	1455
121	2246	1436
122	2265	1418
123	2285	1400
124	2302	1381
125	2322	1363
126	2340	1345
127	2357	1325
128	2377	1308
129	2392	1288
130	2413	1271
131	2433	1253
132	2450	1234
133	2466	1215
134	2485	1196
135	2502	1177
136	2518	1158
137	2536	1139
138	2551	1119
139	2568	1100
140	2584	1081
141	2601	1062
142	2619	1044
143	2638	1026
144	2657	1007
145	2674	989
146	2689	969
147	2707	951
148	2726	933
149	2744	914
150	2762	896
151	2783	879
152	2801	860
153	2818	841
154	2839	824
155	2855	805
156	2871	786
157	2892	768
158	2912	751
159	2930	732
160	2950	714
161	2965	695
162	2983	677
163	3001	658
164	3017	640
165	3035	621
166	3053	603
167	3070	584
168	3089	566
169	3107	548
170	3125	530
171	3143	511
172	3162	493
173	3178	474
174	3195	456
175	3214	438
176	3234	420
177	3251	401
178	3267	383
179	3282	364
180	3300	346
181	3319	328
182	3336	309
183	3356	291
184	3375	273
185	3389	255
186	3406	236
187	3426	218
188	3443	200
189	3461	182
190	3479	163
191	3497	145
192	3514	127
193	3534	109
194	3553	91
195	3573	72
196	3590	54
197	3608	36
198	3625	18
199	3643	0
